Intervalle:600 sec;;;;;;;;
Tension:229.999 V;;;;;;;;
;;;;;;;;
;;;;;;;;
Date/Heure:2018/25/04;10:10:00.000 - 2018/02/05;09:20:00.000;;;;;;
;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]'
2018/25/04;10:10:00.000;236.033;235.278;236.153;2.753;3.162;3.155;1.892
2018/25/04;10:20:00.000;236.267;235.599;236.451;1.500;3.726;3.720;3.054
2018/25/04;10:30:00.000;236.287;236.128;237.098;2.197;4.273;4.435;2.785
2018/25/04;10:40:00.000;235.780;235.912;236.920;1.902;3.769;4.074;2.706
2018/25/04;10:50:00.000;235.968;235.679;236.853;1.699;3.480;3.544;2.683
2018/25/04;11:00:00.000;236.550;236.037;237.402;2.323;4.376;4.428;2.738
2018/25/04;11:10:00.000;236.073;236.017;236.974;1.968;3.651;3.723;2.707
2018/25/04;11:20:00.000;236.268;236.038;236.976;2.313;4.084;4.133;2.686
2018/25/04;11:30:00.000;235.794;236.368;237.199;2.485;4.778;4.931;6.706
2018/25/04;11:40:00.000;235.679;236.125;237.616;1.793;4.930;5.001;6.300
2018/25/04;11:50:00.000;235.951;236.244;237.255;2.755;4.292;4.245;6.175
2018/25/04;12:00:00.000;235.966;236.101;237.389;3.886;3.860;3.690;6.807
2018/25/04;12:10:00.000;237.420;236.645;238.316;2.572;4.060;4.031;4.224
2018/25/04;12:20:00.000;237.146;236.970;238.414;2.292;3.593;3.763;2.506
2018/25/04;12:30:00.000;237.674;236.398;238.108;1.229;2.295;2.396;2.461
2018/25/04;12:40:00.000;234.841;233.510;235.795;1.209;1.482;1.328;2.439
2018/25/04;12:50:00.000;235.444;233.546;236.138;1.027;1.924;1.669;2.343
2018/25/04;13:00:00.000;235.342;234.330;236.174;2.308;3.590;3.400;2.249
2018/25/04;13:10:00.000;234.928;234.050;235.739;1.114;2.380;2.178;2.322
2018/25/04;13:20:00.000;234.777;233.571;235.230;1.135;1.455;1.322;2.215
2018/25/04;13:30:00.000;234.345;233.736;234.079;4.970;2.804;9.263;10.586
2018/25/04;13:40:00.000;236.802;236.037;236.680;3.326;2.688;8.780;9.631
2018/25/04;13:50:00.000;236.144;235.484;237.257;1.542;1.847;1.617;2.674
2018/25/04;14:00:00.000;236.571;235.835;237.578;1.830;3.539;3.373;2.564
2018/25/04;14:10:00.000;237.152;235.877;237.727;2.103;3.736;3.836;2.556
2018/25/04;14:20:00.000;237.030;235.797;237.293;1.123;1.554;1.379;2.275
2018/25/04;14:30:00.000;237.105;236.213;237.512;1.061;2.068;1.832;2.266
2018/25/04;14:40:00.000;237.427;236.969;237.771;1.945;3.745;3.474;2.334
2018/25/04;14:50:00.000;237.592;237.000;237.941;2.018;3.579;3.409;2.682
2018/25/04;15:00:00.000;237.282;236.725;237.747;1.663;2.610;2.434;2.854
2018/25/04;15:10:00.000;237.197;236.286;237.330;1.728;3.290;2.960;2.351
2018/25/04;15:20:00.000;237.597;236.449;237.434;2.091;3.739;3.409;2.449
2018/25/04;15:30:00.000;237.449;237.063;237.906;2.135;3.974;4.113;2.740
2018/25/04;15:40:00.000;237.802;237.050;237.796;1.330;2.742;2.797;2.793
2018/25/04;15:50:00.000;237.789;236.775;237.566;1.351;2.277;2.326;2.725
2018/25/04;16:00:00.000;238.136;236.885;237.503;1.090;2.797;2.991;2.687
2018/25/04;16:10:00.000;236.411;235.150;235.874;1.186;2.964;3.066;2.727
2018/25/04;16:20:00.000;235.845;234.667;235.324;1.157;2.655;2.732;2.489
2018/25/04;16:30:00.000;235.393;234.848;235.128;1.130;1.506;1.385;2.370
2018/25/04;16:40:00.000;236.178;235.706;236.125;1.514;2.912;2.729;2.299
2018/25/04;16:50:00.000;236.603;235.748;236.488;1.344;2.442;2.464;2.261
2018/25/04;17:00:00.000;236.511;235.494;236.341;1.203;1.436;1.333;2.346
2018/25/04;17:10:00.000;237.382;236.183;236.925;1.170;1.688;1.519;2.375
2018/25/04;17:20:00.000;237.555;236.659;237.060;1.310;1.766;1.600;2.405
2018/25/04;17:30:00.000;237.536;236.749;237.485;1.001;2.065;1.833;2.392
2018/25/04;17:40:00.000;237.494;236.841;237.366;1.353;1.906;1.791;2.806
2018/25/04;17:50:00.000;237.695;236.782;237.855;1.056;1.890;1.732;2.769
2018/25/04;18:00:00.000;237.524;236.251;238.014;1.401;1.256;1.448;2.978
2018/25/04;18:10:00.000;237.294;236.111;237.574;1.801;1.211;1.372;3.488
2018/25/04;18:20:00.000;237.188;235.586;237.132;2.002;1.361;1.136;3.394
2018/25/04;18:30:00.000;237.345;235.886;236.756;1.494;1.529;1.183;2.898
2018/25/04;18:40:00.000;237.351;235.224;236.943;1.479;5.344;2.520;4.784
2018/25/04;18:50:00.000;237.189;235.147;236.927;1.757;5.394;2.064;5.334
2018/25/04;19:00:00.000;237.446;235.444;237.185;1.905;2.692;0.656;3.086
2018/25/04;19:10:00.000;237.794;236.250;237.993;1.868;2.202;0.747;2.805
2018/25/04;19:20:00.000;237.541;235.881;237.564;1.874;2.227;0.730;2.807
2018/25/04;19:30:00.000;237.475;235.880;237.622;1.807;2.217;0.805;2.684
2018/25/04;19:40:00.000;237.679;235.684;237.128;2.267;2.198;0.833;2.667
2018/25/04;19:50:00.000;237.823;236.146;237.627;2.347;1.851;0.870;2.569
2018/25/04;20:00:00.000;235.144;233.711;234.766;2.371;1.061;0.888;2.413
2018/25/04;20:10:00.000;234.873;233.602;235.043;4.535;1.081;0.888;4.588
2018/25/04;20:20:00.000;235.152;233.640;234.954;3.443;1.145;0.944;3.372
2018/25/04;20:30:00.000;234.978;233.666;234.697;4.237;1.082;2.090;4.496
2018/25/04;20:40:00.000;234.938;234.042;233.543;6.182;0.929;8.544;7.978
2018/25/04;20:50:00.000;234.871;233.564;234.890;2.181;0.928;0.997;2.024
2018/25/04;21:00:00.000;234.641;233.257;234.284;2.185;0.925;1.078;1.969
2018/25/04;21:10:00.000;236.938;235.278;236.295;2.180;0.960;1.049;1.905
2018/25/04;21:20:00.000;237.723;236.232;237.281;2.183;0.873;1.077;1.900
2018/25/04;21:30:00.000;236.861;235.554;236.656;2.176;0.843;1.138;1.898
2018/25/04;21:40:00.000;234.991;233.829;235.082;2.407;0.842;1.135;2.112
2018/25/04;21:50:00.000;235.443;234.207;235.474;2.521;0.846;1.142;2.207
2018/25/04;22:00:00.000;235.934;234.493;236.057;2.476;0.925;1.130;2.116
2018/25/04;22:10:00.000;236.199;235.007;236.234;2.474;0.873;0.853;2.370
2018/25/04;22:20:00.000;235.917;234.878;235.505;2.560;0.810;2.178;3.189
2018/25/04;22:30:00.000;236.557;234.588;234.072;2.285;0.715;9.052;8.162
2018/25/04;22:40:00.000;235.597;234.374;234.794;2.211;0.773;5.545;5.305
2018/25/04;22:50:00.000;235.642;234.494;235.569;2.187;0.867;0.581;2.316
2018/25/04;23:00:00.000;236.232;235.231;235.974;2.177;0.862;0.581;2.284
2018/25/04;23:10:00.000;236.543;235.026;235.924;1.882;0.799;0.579;1.971
2018/25/04;23:20:00.000;236.912;235.238;235.962;0.905;0.777;0.576;0.560
2018/25/04;23:30:00.000;237.049;235.692;236.098;0.904;0.778;0.574;0.552
2018/25/04;23:40:00.000;236.924;235.685;236.150;0.951;0.840;0.569;0.699
2018/25/04;23:50:00.000;237.563;236.286;236.768;0.891;0.845;0.567;0.522
2018/26/04;00:00:00.000;236.237;235.198;235.323;0.901;0.800;0.568;0.926
2018/26/04;00:10:00.000;237.239;236.148;236.232;0.922;0.797;0.584;1.075
2018/26/04;00:20:00.000;237.796;236.333;236.876;0.914;0.789;0.572;0.814
2018/26/04;00:30:00.000;237.714;236.182;236.841;0.907;0.823;0.572;0.589
2018/26/04;00:40:00.000;238.177;236.782;237.268;0.912;0.838;0.572;0.481
2018/26/04;00:50:00.000;238.524;236.855;237.342;0.911;0.802;0.571;0.516
2018/26/04;01:00:00.000;238.347;236.855;237.290;0.911;0.779;0.573;0.536
2018/26/04;01:10:00.000;238.368;236.940;237.375;0.911;0.779;0.575;0.539
2018/26/04;01:20:00.000;238.384;237.022;237.502;0.911;0.815;0.576;0.586
2018/26/04;01:30:00.000;238.178;237.127;237.476;0.914;0.834;0.574;0.470
2018/26/04;01:40:00.000;238.750;237.261;237.834;0.978;0.812;0.580;0.689
2018/26/04;01:50:00.000;238.713;237.267;237.658;0.917;0.786;0.580;0.635
2018/26/04;02:00:00.000;238.440;237.126;237.403;0.905;0.781;0.580;0.622
2018/26/04;02:10:00.000;236.501;235.121;235.470;0.897;0.775;0.575;0.616
2018/26/04;02:20:00.000;235.633;234.355;234.648;0.903;0.845;0.572;0.545
2018/26/04;02:30:00.000;235.825;234.328;234.722;0.906;0.800;0.573;0.491
2018/26/04;02:40:00.000;235.803;234.363;234.771;0.905;0.769;0.576;0.546
2018/26/04;02:50:00.000;235.832;234.449;234.845;0.905;0.769;0.576;0.547
2018/26/04;03:00:00.000;235.776;234.157;234.700;0.905;0.768;0.576;0.548
2018/26/04;03:10:00.000;235.619;234.212;234.149;0.906;0.835;0.574;0.552
2018/26/04;03:20:00.000;235.892;234.245;234.110;0.907;0.806;0.574;0.490
2018/26/04;03:30:00.000;235.610;234.052;233.955;0.960;0.772;0.576;0.680
2018/26/04;03:40:00.000;235.541;234.220;234.516;0.926;0.776;0.580;0.675
2018/26/04;03:50:00.000;235.365;234.045;234.245;0.907;0.775;0.580;0.645
2018/26/04;04:00:00.000;235.116;234.028;234.338;0.900;0.834;0.577;0.615
2018/26/04;04:10:00.000;235.443;234.210;234.469;0.900;0.816;0.577;0.525
2018/26/04;04:20:00.000;235.573;234.223;234.405;0.905;0.769;0.576;0.554
2018/26/04;04:30:00.000;235.817;234.258;234.544;0.908;0.770;0.578;0.555
2018/26/04;04:40:00.000;235.486;233.881;234.359;0.905;0.768;0.577;0.556
2018/26/04;04:50:00.000;235.383;233.981;234.322;0.906;0.823;0.576;0.576
2018/26/04;05:00:00.000;236.608;235.110;235.399;0.911;0.817;0.576;0.478
2018/26/04;05:10:00.000;237.185;235.767;236.187;0.911;0.773;0.579;0.553
2018/26/04;05:20:00.000;236.584;235.184;235.658;0.908;0.770;0.578;0.555
2018/26/04;05:30:00.000;236.379;235.163;235.468;0.968;0.812;0.578;0.727
2018/26/04;05:40:00.000;236.240;234.984;235.222;0.892;0.923;0.575;0.677
2018/26/04;05:50:00.000;236.047;234.622;235.067;0.879;0.943;0.572;0.591
2018/26/04;06:00:00.000;235.736;234.502;234.788;0.950;0.884;0.594;0.667
2018/26/04;06:10:00.000;234.969;234.427;235.139;6.203;0.909;0.670;6.272
2018/26/04;06:20:00.000;234.215;234.803;235.274;8.250;0.927;0.695;8.360
2018/26/04;06:30:00.000;234.667;235.078;235.276;9.433;0.950;0.699;9.603
2018/26/04;06:40:00.000;235.284;234.978;235.441;6.124;1.229;0.732;5.801
2018/26/04;06:50:00.000;234.524;234.648;234.799;5.890;1.066;0.745;5.837
2018/26/04;07:00:00.000;235.390;235.287;235.415;5.414;1.008;0.744;5.428
2018/26/04;07:10:00.000;236.796;235.964;236.356;2.575;0.995;0.721;2.488
2018/26/04;07:20:00.000;236.428;235.204;235.879;1.057;0.984;0.739;0.790
2018/26/04;07:30:00.000;235.722;234.793;235.346;0.969;1.031;0.748;0.808
2018/26/04;07:40:00.000;235.581;234.748;235.085;0.963;1.022;0.785;0.787
2018/26/04;07:50:00.000;235.241;234.245;235.293;1.086;1.162;1.040;0.794
2018/26/04;08:00:00.000;235.325;234.156;235.071;1.530;1.531;1.495;0.868
2018/26/04;08:10:00.000;236.503;235.243;236.331;1.669;1.731;1.780;0.890
2018/26/04;08:20:00.000;236.540;234.816;236.359;1.230;1.565;1.671;1.182
2018/26/04;08:30:00.000;236.516;235.131;236.186;1.852;2.146;2.376;1.130
2018/26/04;08:40:00.000;236.042;234.706;235.904;1.600;1.539;1.426;0.726
2018/26/04;08:50:00.000;235.858;234.667;235.931;1.364;1.196;1.013;0.816
2018/26/04;09:00:00.000;236.164;234.465;236.082;1.794;1.638;1.636;0.737
2018/26/04;09:10:00.000;237.079;235.386;236.538;1.544;1.345;1.246;0.931
2018/26/04;09:20:00.000;237.084;235.644;236.766;1.359;1.191;1.025;1.179
2018/26/04;09:30:00.000;237.091;235.411;236.571;1.451;1.529;1.446;1.072
2018/26/04;09:40:00.000;237.059;235.644;236.535;2.483;2.787;2.912;0.903
2018/26/04;09:50:00.000;236.674;235.313;236.148;1.164;1.272;1.242;0.878
2018/26/04;10:00:00.000;236.500;235.418;236.366;1.571;1.448;1.449;0.722
2018/26/04;10:10:00.000;235.530;234.580;235.382;2.232;1.851;2.092;0.731
2018/26/04;10:20:00.000;236.287;234.965;235.305;1.977;1.679;1.781;0.714
2018/26/04;10:30:00.000;236.346;234.997;235.817;2.161;1.902;1.976;0.727
2018/26/04;10:40:00.000;236.438;234.959;236.163;3.325;3.084;3.280;0.782
2018/26/04;10:50:00.000;236.566;234.969;236.090;3.532;3.393;3.489;0.713
2018/26/04;11:00:00.000;236.562;234.531;235.839;2.690;2.383;2.565;0.702
2018/26/04;11:10:00.000;236.358;234.168;235.287;3.148;2.946;3.062;0.661
2018/26/04;11:20:00.000;236.489;234.572;235.609;3.583;3.695;3.775;0.861
2018/26/04;11:30:00.000;235.896;234.141;235.387;3.477;3.681;3.740;0.763
2018/26/04;11:40:00.000;235.597;233.857;235.020;3.850;4.000;4.085;0.761
2018/26/04;11:50:00.000;235.405;233.181;234.958;2.805;2.466;2.988;4.589
2018/26/04;12:00:00.000;236.039;234.534;235.857;3.424;3.163;3.364;0.915
2018/26/04;12:10:00.000;236.406;235.173;236.017;2.357;2.227;2.537;3.020
2018/26/04;12:20:00.000;237.186;236.197;236.480;2.242;2.079;2.474;2.874
2018/26/04;12:30:00.000;237.813;235.963;237.194;2.678;2.465;2.521;0.665
2018/26/04;12:40:00.000;237.499;236.710;237.719;2.284;3.393;3.484;5.215
2018/26/04;12:50:00.000;237.931;236.621;237.696;4.142;3.939;4.271;0.674
2018/26/04;13:00:00.000;237.717;236.725;238.120;4.251;4.806;5.008;3.921
2018/26/04;13:10:00.000;237.325;236.164;237.685;5.217;5.535;5.772;2.362
2018/26/04;13:20:00.000;237.122;235.752;237.000;4.155;4.270;4.458;1.862
2018/26/04;13:30:00.000;236.951;235.622;236.972;3.179;4.968;5.044;4.251
2018/26/04;13:40:00.000;237.054;235.443;237.574;4.337;4.219;4.493;0.757
2018/26/04;13:50:00.000;237.028;235.931;237.321;4.843;5.052;5.320;2.210
2018/26/04;14:00:00.000;237.314;235.861;236.945;5.031;4.920;5.096;2.056
2018/26/04;14:10:00.000;236.622;235.694;237.134;3.884;4.849;4.965;5.432
2018/26/04;14:20:00.000;236.675;235.929;237.384;3.781;4.921;4.989;5.672
2018/26/04;14:30:00.000;236.178;235.163;236.692;3.882;2.318;2.314;5.048
2018/26/04;14:40:00.000;235.686;235.419;236.926;3.788;3.948;4.055;5.411
2018/26/04;14:50:00.000;237.196;235.327;236.949;4.407;4.200;4.273;0.741
2018/26/04;15:00:00.000;237.290;235.533;237.044;3.325;3.178;3.171;0.676
2018/26/04;15:10:00.000;237.515;235.650;237.243;4.107;4.089;4.094;0.766
2018/26/04;15:20:00.000;237.507;235.734;237.124;4.229;4.330;4.483;0.762
2018/26/04;15:30:00.000;236.834;235.973;237.147;4.020;3.948;4.221;0.692
2018/26/04;15:40:00.000;236.530;235.700;236.809;2.449;3.062;3.119;1.203
2018/26/04;15:50:00.000;237.036;236.283;237.199;3.303;3.962;4.013;1.175
2018/26/04;16:00:00.000;236.834;236.065;236.860;2.928;2.821;2.805;0.684
2018/26/04;16:10:00.000;236.816;236.578;237.217;3.263;3.074;3.095;0.682
2018/26/04;16:20:00.000;237.345;236.383;237.558;2.764;2.325;2.569;0.848
2018/26/04;16:30:00.000;238.230;236.630;238.024;3.829;3.454;3.501;0.757
2018/26/04;16:40:00.000;238.058;236.881;238.035;3.132;2.728;2.612;0.956
2018/26/04;16:50:00.000;238.556;237.027;238.219;2.702;2.418;2.298;0.883
2018/26/04;17:00:00.000;238.137;236.481;237.866;2.820;2.534;2.393;0.899
2018/26/04;17:10:00.000;237.290;235.796;237.017;2.473;2.269;2.226;0.981
2018/26/04;17:20:00.000;236.818;235.833;236.833;2.019;2.035;2.020;0.863
2018/26/04;17:30:00.000;236.814;235.760;237.128;1.909;2.090;1.936;0.899
2018/26/04;17:40:00.000;237.048;235.426;236.739;1.717;1.913;1.758;0.890
2018/26/04;17:50:00.000;236.623;234.759;236.417;1.540;1.660;1.480;0.824
2018/26/04;18:00:00.000;236.755;235.567;236.941;1.656;1.484;1.361;0.799
2018/26/04;18:10:00.000;235.837;234.321;235.716;1.521;1.264;1.225;0.706
2018/26/04;18:20:00.000;235.181;233.669;234.881;1.429;1.283;1.131;0.787
2018/26/04;18:30:00.000;236.365;235.035;236.393;1.351;1.213;1.006;0.822
2018/26/04;18:40:00.000;237.485;236.234;237.411;1.364;1.177;0.965;0.907
2018/26/04;18:50:00.000;237.561;236.236;236.959;1.331;1.164;0.942;0.935
2018/26/04;19:00:00.000;237.485;236.012;236.870;1.263;1.029;0.882;0.808
2018/26/04;19:10:00.000;235.556;234.037;235.340;1.111;1.026;0.826;0.847
2018/26/04;19:20:00.000;234.967;233.616;234.653;0.974;1.021;0.786;0.812
2018/26/04;19:30:00.000;234.934;233.680;234.616;0.956;0.994;0.747;0.745
2018/26/04;19:40:00.000;235.371;233.752;234.700;0.962;0.985;0.740;0.746
2018/26/04;19:50:00.000;235.625;233.516;234.941;0.999;1.019;0.717;0.763
2018/26/04;20:00:00.000;235.818;233.663;234.810;1.055;0.995;0.706;0.698
2018/26/04;20:10:00.000;235.300;233.604;234.465;1.037;0.963;0.687;0.637
2018/26/04;20:20:00.000;236.709;234.984;236.404;1.033;0.967;0.681;0.609
2018/26/04;20:30:00.000;237.608;236.427;237.650;1.007;0.951;0.880;0.788
2018/26/04;20:40:00.000;237.502;236.660;237.425;0.906;0.930;0.792;0.807
2018/26/04;20:50:00.000;238.071;236.582;237.569;0.907;0.940;0.781;0.742
2018/26/04;21:00:00.000;237.776;235.841;237.228;0.944;0.879;0.801;0.829
2018/26/04;21:10:00.000;237.736;235.919;237.716;0.893;0.831;0.908;0.718
2018/26/04;21:20:00.000;237.830;236.518;237.822;0.873;0.787;0.905;0.729
2018/26/04;21:30:00.000;237.020;235.705;236.670;0.889;0.827;0.906;0.781
2018/26/04;21:40:00.000;235.281;234.378;235.401;0.898;0.831;0.906;0.722
2018/26/04;21:50:00.000;236.046;234.462;235.654;0.896;0.781;0.899;0.859
2018/26/04;22:00:00.000;236.484;235.013;236.292;0.900;0.775;0.648;0.629
2018/26/04;22:10:00.000;235.912;234.514;235.805;0.899;0.776;0.563;0.536
2018/26/04;22:20:00.000;235.767;234.198;235.461;0.898;0.775;0.561;0.534
2018/26/04;22:30:00.000;236.068;233.718;235.796;0.901;0.854;0.559;0.532
2018/26/04;22:40:00.000;236.477;234.098;236.033;0.900;0.799;0.560;0.497
2018/26/04;22:50:00.000;236.371;233.989;236.130;0.899;0.772;0.561;0.535
2018/26/04;23:00:00.000;237.107;234.622;236.277;0.945;0.775;0.561;0.637
2018/26/04;23:10:00.000;236.480;234.710;236.147;0.890;0.780;0.562;0.641
2018/26/04;23:20:00.000;236.981;235.185;236.604;0.875;0.841;0.561;0.597
2018/26/04;23:30:00.000;237.422;235.762;236.731;0.871;0.824;0.562;0.510
2018/26/04;23:40:00.000;237.939;236.268;237.167;0.868;0.785;0.565;0.580
2018/26/04;23:50:00.000;238.104;236.162;237.275;0.907;0.778;0.564;0.531
2018/27/04;00:00:00.000;235.428;233.781;234.391;0.902;0.774;0.572;0.536
2018/27/04;00:10:00.000;235.369;233.580;234.232;0.916;0.812;0.562;0.582
2018/27/04;00:20:00.000;235.985;234.156;234.802;0.907;0.812;0.559;0.452
2018/27/04;00:30:00.000;236.192;234.340;234.546;0.907;0.780;0.561;0.520
2018/27/04;00:40:00.000;236.222;234.557;235.049;0.907;0.771;0.563;0.534
2018/27/04;00:50:00.000;236.332;234.440;235.251;0.906;0.770;0.563;0.531
2018/27/04;01:00:00.000;236.369;234.786;235.467;0.954;0.772;0.565;0.641
2018/27/04;01:10:00.000;236.172;234.620;235.341;0.904;0.850;0.566;0.608
2018/27/04;01:20:00.000;236.405;235.009;235.626;0.885;0.799;0.567;0.570
2018/27/04;01:30:00.000;236.318;235.167;235.663;0.876;0.779;0.569;0.601
2018/27/04;01:40:00.000;236.504;235.200;235.563;0.874;0.777;0.568;0.589
2018/27/04;01:50:00.000;236.429;235.125;235.502;0.906;0.771;0.567;0.527
2018/27/04;02:00:00.000;236.365;234.801;235.493;0.907;0.822;0.566;0.541
2018/27/04;02:10:00.000;235.729;234.244;234.875;0.905;0.798;0.565;0.452
2018/27/04;02:20:00.000;235.926;234.490;235.033;0.905;0.768;0.569;0.533
2018/27/04;02:30:00.000;235.877;234.223;234.769;0.907;0.844;0.567;0.579
2018/27/04;02:40:00.000;235.838;234.314;234.698;0.906;0.850;0.566;0.566
2018/27/04;02:50:00.000;235.956;234.438;234.920;0.908;0.896;0.566;0.620
2018/27/04;03:00:00.000;235.903;234.465;234.877;0.951;0.923;0.565;0.644
2018/27/04;03:10:00.000;235.972;234.478;234.976;0.933;0.875;0.568;0.690
2018/27/04;03:20:00.000;236.171;234.559;235.071;0.911;0.853;0.569;0.666
2018/27/04;03:30:00.000;236.202;234.606;235.091;0.902;0.852;0.570;0.651
2018/27/04;03:40:00.000;235.936;234.410;234.993;1.037;0.853;0.571;0.722
2018/27/04;03:50:00.000;235.732;234.447;234.905;3.064;0.946;0.580;2.720
2018/27/04;04:00:00.000;235.943;234.843;235.143;3.003;0.905;0.581;2.684
2018/27/04;04:10:00.000;237.103;236.127;236.334;2.737;0.860;0.585;2.466
2018/27/04;04:20:00.000;238.005;236.778;237.022;2.589;0.858;0.585;2.284
2018/27/04;04:30:00.000;238.195;236.732;237.137;2.500;0.857;0.584;2.174
2018/27/04;04:40:00.000;237.723;236.398;236.626;2.459;0.915;0.582;2.059
2018/27/04;04:50:00.000;237.637;236.457;236.596;2.475;0.924;0.581;1.971
2018/27/04;05:00:00.000;237.530;236.329;236.490;2.528;0.866;0.583;2.198
2018/27/04;05:10:00.000;237.219;235.946;236.215;2.716;0.866;0.586;2.464
2018/27/04;05:20:00.000;237.287;236.024;236.456;2.693;0.865;0.581;2.438
2018/27/04;05:30:00.000;237.004;235.688;235.986;2.655;0.864;0.580;2.395
2018/27/04;05:40:00.000;236.152;234.731;235.270;2.614;0.957;0.576;2.181
2018/27/04;05:50:00.000;236.095;234.481;235.004;2.545;0.893;0.577;2.156
2018/27/04;06:00:00.000;235.366;234.101;234.706;2.660;0.860;0.580;2.379
2018/27/04;06:10:00.000;235.518;234.299;235.133;2.626;0.857;0.603;2.359
2018/27/04;06:20:00.000;235.375;234.413;235.085;2.442;0.850;0.608;2.143
2018/27/04;06:30:00.000;235.019;233.574;234.560;2.516;0.946;0.630;2.086
2018/27/04;06:40:00.000;234.503;233.166;234.274;3.370;1.203;0.712;2.915
2018/27/04;06:50:00.000;235.067;234.998;235.489;6.180;1.032;0.734;6.245
2018/27/04;07:00:00.000;235.687;235.652;236.079;4.824;1.027;0.733;4.851
2018/27/04;07:10:00.000;235.813;236.185;236.451;4.967;1.024;0.748;5.055
2018/27/04;07:20:00.000;235.493;235.279;235.849;4.786;1.063;0.794;4.845
2018/27/04;07:30:00.000;235.316;235.265;235.839;4.712;1.069;0.852;4.934
2018/27/04;07:40:00.000;235.380;234.635;235.298;3.919;1.136;0.910;4.226
2018/27/04;07:50:00.000;235.518;234.454;235.295;1.323;1.249;1.158;0.830
2018/27/04;08:00:00.000;234.859;233.954;234.670;1.406;1.579;1.524;1.518
2018/27/04;08:10:00.000;234.735;234.035;234.943;0.808;1.944;1.865;2.386
2018/27/04;08:20:00.000;234.641;234.020;234.971;0.789;2.215;2.293;2.449
2018/27/04;08:30:00.000;234.411;233.994;234.978;0.850;2.430;2.508;2.781
2018/27/04;08:40:00.000;234.133;233.726;234.912;0.784;2.827;2.777;3.170
2018/27/04;08:50:00.000;234.237;234.070;234.970;0.909;3.028;2.996;3.047
2018/27/04;09:00:00.000;234.827;234.030;235.333;0.983;3.229;3.201;3.005
2018/27/04;09:10:00.000;235.940;235.130;236.569;1.028;3.327;3.384;2.996
2018/27/04;09:20:00.000;236.174;235.313;237.042;1.139;3.345;3.527;2.956
2018/27/04;09:30:00.000;235.228;235.333;236.306;1.301;3.676;3.710;2.975
2018/27/04;09:40:00.000;235.193;235.140;236.175;1.636;3.844;3.881;2.806
2018/27/04;09:50:00.000;235.564;234.807;236.315;1.945;3.998;4.029;2.608
2018/27/04;10:00:00.000;235.537;234.772;236.058;2.131;4.123;4.175;2.546
2018/27/04;10:10:00.000;236.801;236.949;237.632;2.270;3.955;4.269;2.493
2018/27/04;10:20:00.000;237.353;237.497;238.158;2.381;4.092;4.354;2.498
2018/27/04;10:30:00.000;237.924;237.554;238.148;2.472;4.306;4.471;2.528
2018/27/04;10:40:00.000;236.839;237.092;238.390;3.719;4.406;4.587;6.498
2018/27/04;10:50:00.000;236.669;237.638;238.738;4.943;4.531;4.674;9.618
