,H0_winter_saturday,H0_winter_sunday,H0_winter_workday,H0_summer_saturday,H0_summer_sunday,H0_summer_workday,H0_interseason _saturday,H0_interseason _sunday,H0_interseason _workday,G0_winter_saturday,G0_winter_sunday,G0_winter_workday,G0_summer_saturday,G0_summer_sunday,G0_summer_workday,G0_interseason _saturday,G0_interseason _sunday,G0_interseason _workday,G1_winter_saturday,G1_winter_sunday,G1_winter_workday,G1_summer_saturday,G1_summer_sunday,G1_summer_workday,G1_interseason _saturday,G1_interseason _sunday,G1_interseason _workday,G2_winter_saturday,G2_winter_sunday,G2_winter_workday,G2_summer_saturday,G2_summer_sunday,G2_summer_workday,G2_interseason _saturday,G2_interseason _sunday,G2_interseason _workday,G3_winter_saturday,G3_winter_sunday,G3_winter_workday,G3_summer_saturday,G3_summer_sunday,G3_summer_workday,G3_interseason _saturday,G3_interseason _sunday,G3_interseason _workday,G4_winter_saturday,G4_winter_sunday,G4_winter_workday,G4_summer_saturday,G4_summer_sunday,G4_summer_workday,G4_interseason _saturday,G4_interseason _sunday,G4_interseason _workday,G5_winter_saturday,G5_winter_sunday,G5_winter_workday,G5_summer_saturday,G5_summer_sunday,G5_summer_workday,G5_interseason _saturday,G5_interseason _sunday,G5_interseason _workday,G6_winter_saturday,G6_winter_sunday,G6_winter_workday,G6_summer_saturday,G6_summer_sunday,G6_summer_workday,G6_interseason _saturday,G6_interseason _sunday,G6_interseason _workday,L0_winter_saturday,L0_winter_sunday,L0_winter_workday,L0_summer_saturday,L0_summer_sunday,L0_summer_workday,L0_interseason _saturday,L0_interseason _sunday,L0_interseason _workday,L1_winter_saturday,L1_winter_sunday,L1_winter_workday,L1_summer_saturday,L1_summer_sunday,L1_summer_workday,L1_interseason _saturday,L1_interseason _sunday,L1_interseason _workday,L2_winter_saturday,L2_winter_sunday,L2_winter_workday,L2_summer_saturday,L2_summer_sunday,L2_summer_workday,L2_interseason _saturday,L2_interseason _sunday,L2_interseason _workday
0:15,70.8,87.5,67.6,89.8,100.1,86.3,80.2,93.4,77.8,70,63.2,65.5,74.6,68.8,71.5,75.8,68.3,73,25.8,25.7,26.4,23.6,22.4,23.6,20.7,22.4,20.2,80.6,73.7,77.4,63.1,50.6,60.8,73.1,64.2,70.5,95.3,87.8,94.7,99,94.6,98.5,92.5,87.6,91.2,62.2,57.7,62.1,75.3,68.7,74.5,67.2,63.1,67.2,66.6,38.9,50.1,91.8,48.8,67.4,75.6,42.5,56,67.5,100.3,62.1,60,85.6,56.8,64.7,98.7,61,73.9,68.3,72.4,67.2,62.6,66.1,71.4,64.8,70.3,67.9,63.5,66.7,58.2,53.8,57.7,64.9,60.4,64.4,67.9,63.5,66.7,58.2,53.8,57.7,64.9,60.4,64.4
0:30,68.2,81.1,60.8,84.9,92.5,76.9,75.1,86.8,69.6,73,61,62.6,76.2,67.4,69,76.7,66.5,70.1,25.2,25,26.4,22.5,21.8,22.5,20.8,21.9,19.7,74.6,68.7,67.4,58,47.4,53,67.6,60.7,61.9,95.5,88.3,94.1,100,95.3,99,93,87.3,90.2,61.2,56.4,60.8,75.5,68.3,73.6,65.9,62.2,66.1,87.3,38.4,47.4,118.3,47.8,61.2,97.6,42,51.3,67.8,91.1,55.6,59.4,79,52,63.4,91.2,54.9,73,66,69.4,65.6,60.6,63.1,69.4,62.7,67.1,67.6,62.2,64.8,57.3,53.3,56.2,63.8,59.6,62.6,67.6,62.2,64.8,57.3,53.3,56.2,63.8,59.6,62.6
0:45,65.9,75,54.9,80.7,85.9,68.8,70.7,81.2,62.4,75.9,58.9,59.6,77.7,65.7,66.3,77.7,64.6,67.1,24.7,24.6,26.4,21.5,21.3,21.5,20.9,21.4,19.2,69.2,63.6,58.4,53.5,44.3,46,62.8,56.9,54.4,96.2,89,94.1,100.9,96,99.4,93.7,87.4,89.4,60.1,55,59.5,75.7,68,72.8,64.8,61.3,64.9,111.7,38.1,44.9,145.6,46.6,54.6,121.4,41.6,46.6,68.5,83.4,50.1,59.4,73.6,48,63,84.5,49.9,72.6,64.3,66.9,64.3,58.9,60.5,68,61.3,64.3,67.8,61.4,63.2,56.7,53,54.9,62.9,59.1,61,67.8,61.4,63.2,56.7,53,54.9,62.9,59.1,61
1:00,63.3,69.1,49.9,76.6,79.9,62.4,66.6,75.7,56.6,77.6,57,57,78.5,63.5,63.5,78.5,62.6,64.5,24.6,24.6,26.5,20.8,20.8,20.8,20.8,20.8,18.9,63.6,58.7,50.9,48.9,41.1,40.1,57.7,52.8,47.9,97.4,90.1,95,101,96.2,99.2,94.3,87.7,88.9,59.4,54,58.5,75.6,67.5,72,63.9,60.3,63.9,137,38.3,43.3,168.3,45.3,49.4,143.1,41.3,43.3,68.1,77.4,46.2,58.9,69.3,45,62.4,78.5,46.2,72.3,63,64.8,63,57.4,58.4,66.7,60.2,62.1,67.8,60.8,61.9,56.1,52.6,53.7,61.9,58.4,59.6,67.8,60.8,61.9,56.1,52.6,53.7,61.9,58.4,59.6
1:15,59.5,63.4,46.2,71.7,74.1,58,62.3,70.1,52.5,77.1,55.3,54.8,77.9,60.9,60.9,78.5,60.3,62.3,25,25,26.5,20.5,20.6,20.5,20.5,20.2,18.8,57.1,54.4,44.9,43.6,37.9,35.4,51.6,48.3,42.5,98.9,91.3,96.6,99.8,95.3,98.1,94.5,88,88.7,59.1,53.6,58,74.8,66.6,71,63.2,59.4,63,160.7,39.2,43,182.2,44.3,46.7,159.4,41.1,42.4,65.4,73.2,44,57.1,65.8,43,60.4,73.1,43.7,71.5,62.1,63.2,61.4,56.2,56.7,65.3,59.2,60.3,67.3,59.9,60.8,55.2,51.7,52.6,60.6,57.3,58.2,67.3,59.9,60.8,55.2,51.7,52.6,60.6,57.3,58.2
1:30,55,58.2,43.6,66.6,68.7,55.3,58,64.5,49.7,75,53.7,53.1,76.3,58,58.6,77.8,57.9,60.6,25.6,25.6,26.5,20.5,20.6,20.5,20,19.5,18.8,50.4,50.6,40.5,38.1,34.7,31.7,45,43.8,38.1,100.3,92.4,98.4,97.9,93.9,96.4,94.5,88.4,88.8,59.2,53.6,57.8,73.6,65.6,70,62.7,58.6,62.2,180.8,40.5,43.8,188.4,43.4,46,170.6,40.9,42.9,61,70.5,43,54.3,63,41.8,57.5,68.1,42.1,70.4,61.4,61.9,59.7,55.2,55.4,63.9,58.2,59.1,66.5,59,59.8,54.2,50.6,51.6,59.1,56.1,57,66.5,59,59.8,54.2,50.6,51.6,59.1,56.1,57
1:45,50.5,53.6,41.9,61.6,63.9,53.6,54.1,59.3,47.9,72.1,52.1,51.7,74.1,55.4,56.6,76.6,55.5,59.2,26.2,26.2,26.5,20.7,20.7,20.6,19.4,19.1,18.9,44.1,47.2,37.4,33.2,31.8,29.1,38.9,39.6,34.7,101,92.9,99.8,95.8,92.4,94.8,94.3,88.9,89.1,59.4,53.8,57.7,72.3,64.6,69.1,62.4,58,61.6,195.6,41.7,45,189.4,42.8,45.9,177.6,41,43.7,56.1,68.6,42.8,51.3,60.4,41,54.1,63.8,41.1,69.1,60.8,61,58,54.4,54.4,62.4,57.3,58.1,65.4,58.1,59,53.3,49.6,50.8,57.9,55.1,56.2,65.4,58.1,59,53.3,49.6,50.8,57.9,55.1,56.2
2:00,46.6,49.9,40.8,57.4,59.9,52.4,50.8,54.9,46.6,69.1,50.5,50.5,71.9,53.3,55.1,74.7,53.3,57.9,26.5,26.5,26.5,20.8,20.8,20.8,18.9,18.9,18.9,39.1,44,35.2,29.3,29.3,27.4,34.2,36.2,32.3,100.4,92.5,99.8,94.3,91.3,93.7,94.3,89.5,89.5,59.4,54,57.6,71.1,63.9,68.4,62.1,57.6,61.2,203.5,42.3,46.3,187.4,42.3,45.3,181.4,41.3,43.3,52,67,42.7,48.5,57.7,40.4,50.8,60,40.4,67.6,60.2,60.2,56.5,53.7,53.7,61.1,56.5,57.4,64.3,57.2,58.4,52.6,49.1,50.2,57.2,54.9,56.1,64.3,57.2,58.4,52.6,49.1,50.2,57.2,54.9,56.1
2:15,43.9,47.3,40.1,54.5,57,51.3,48.4,51.7,45.5,66.8,48.7,49.4,70.2,52,54.2,72.6,51.2,56.7,26.3,26.3,26.6,20.9,20.9,21,18.6,19.2,18.9,36,41,33.9,27.2,27.4,26.5,31.6,33.8,30.8,98.2,91,98,94,91.1,93.6,94.7,90.3,90,59.1,54,57.2,70.3,63.7,68,61.8,57.4,61.1,203.7,42,47.5,184.6,42,43.9,182.9,41.9,41.4,49.4,65.1,42.3,46.5,54.8,39.7,48.1,57,39.7,66.2,59.5,59.6,55.2,53.2,53.2,60,55.8,56.9,63.2,56.7,58,52.2,49.1,50.1,57.4,55.7,56.7,63.2,56.7,58,52.2,49.1,50.1,57.4,55.7,56.7
2:30,42.3,45.5,39.6,52.6,55,50.3,46.8,49.4,44.5,65.1,46.9,48.5,68.9,51.4,53.7,70.4,49.5,55.6,25.8,25.7,26.6,20.9,20.9,21,18.5,19.7,18.9,34.4,38.2,33.1,26.4,26,26.2,30.6,32.2,29.9,95.1,88.7,95.1,94.3,91.5,94.1,95,91,90.3,58.6,53.7,56.6,69.8,63.7,67.9,61.6,57.4,61.1,198.9,40.9,49.2,182.2,41.9,44.3,183.1,42.6,40.1,48.1,63,41.7,45.2,51.7,39.1,45.9,54.3,39,64.8,58.8,59.2,54.2,52.7,52.7,59.1,55.3,56.4,62.3,56.3,57.7,52,49.6,50.2,58,57,57.6,62.3,56.3,57.7,52,49.6,50.2,58,57,57.6
